iteration,resonance
0,0.56770620152299
1,0.49104640252728593
2,0.5715016265875283
3,0.499873892444362
4,0.523727353309299
5,0.5497819675554987
6,0.557086811067372
7,0.5668122946418289
8,0.5650874752391057
9,0.5500316287359872
10,0.5057348181496415
11,0.5803009791869425
12,0.5437282838398116
13,0.5520710471905583
14,0.50494321710482
15,0.543895858815188
16,0.5357611967141462
17,0.5526668913219179
18,0.5124318079848946
19,0.4767359249827856
20,0.5224372763573628
21,0.547505395661231
22,0.5129575378083194
23,0.49551290135100046
24,0.5405485364256664
25,0.5361612935342336
26,0.5098044156916256
27,0.49480913503537927
28,0.5558652179631824
29,0.5068051095976797
30,0.5353895128438151
31,0.5107403461880415
32,0.5680800377814018
33,0.5038362885238353
34,0.5061663690494533
35,0.5145548059111105
36,0.5281987470116991
37,0.554320244984423
38,0.5409260886505136
39,0.5630274211525375
40,0.5290130127080552
41,0.4972615536109394
42,0.5454777121892457
43,0.5453898971561004
44,0.5391654330556193
45,0.4637409049625917
46,0.49313790905438704
47,0.5171277531863347
48,0.4979055193763047
49,0.5094888556025585
50,0.55259338418937
